规则ID,综合结论名称,所属维度,优先级,必要指标组合(AND),可选强化指标,排除条件,覆盖规则ID,证据指标,结论描述模板
SYNDROME_UPPER_CROSS_001,上交叉综合征,health|aesthetic|sport,5,PT_01异常 AND (PT_04异常 OR PT_05异常),SP_04|NC_01~06受限,,PT_HEAD_FWD_001|PT_ROUND_SHOULDER_001,PT_01|PT_04|PT_05,头颈前移伴圆肩，符合上交叉综合征表现，提示颈深屈肌、下斜方肌偏弱，上斜方肌、胸大肌偏紧。建议加强颈部深层肌群与下斜方肌，并拉伸胸大肌、上斜方肌。
SYNDROME_LOWER_CROSS_001,下交叉综合征,health|aesthetic|sport,6,(PT_06异常 OR PT_07异常) AND (SP_05异常 OR HP_01~04受限 OR BT_01塌臀),PT_08|PT_09膝超伸,,PT_PELVIS_001|PT_PELVIS_SHIFT_001,PT_06|PT_07|SP_05|BT_01|HP_01~04,骨盆前倾/前移伴腰曲过大或臀型异常，符合下交叉综合征特征，提示髂腰肌、竖脊肌偏紧，臀肌、腹肌偏弱。建议加强臀肌与核心，并拉伸髂腰肌、竖脊肌。
SYNDROME_UPPER_LOWER_001,上下交叉综合征,health|aesthetic|sport,4,PT_01异常 AND (PT_04异常 OR PT_05异常) AND (PT_06异常 OR PT_07异常),SP_05|HP_01~04,,SYNDROME_UPPER_CROSS_001|SYNDROME_LOWER_CROSS_001,PT_01|PT_04|PT_05|PT_06|PT_07,头前引、圆肩与骨盆前倾/前移并存，符合上下交叉综合征，需同步矫正上、下半身肌群失衡。建议在专业指导下进行全身性姿势矫正与核心稳定训练。
TEEN_SCOLIOSIS_RISK_001,青少年脊柱侧弯风险,health|sport,7,SP_10异常 AND (SP_06|SP_07|SP_08任一),YG_01|YG_02,,,SP_10|SP_06|SP_07|SP_08,青少年脊柱侧弯风险评分异常，建议专业筛查与姿势干预。
RISK_FALL_001,跌倒风险偏高,health|sport,8,BL_03~BL_08闭眼/睁眼平衡差(B/C/D级),BL_09~BL_28动态平衡,,,BL_03|BL_04|BL_05|BL_06|BL_07|BL_08,闭眼或睁眼平衡能力偏弱，提示本体感觉与稳定性不足，存在一定跌倒风险。建议进行平衡训练并注意日常防跌倒。
SPINE_PAIN_RISK_001,脊柱负荷风险,health|sport,9,(SP_11异常 OR SP_12异常 OR SP_13异常) AND SP_02结构异常,SP_14|SP_15|SP_16,,,SP_11|SP_12|SP_13|SP_02,颈部/背部/腰部负荷与脊柱结构异常并存，建议专业评估并加强核心稳定与姿势矫正。
OBESITY_CENTRAL_001,中心性肥胖,health|aesthetic,10,BC_15正常范围 AND BC_12超标(男>0.9/女>0.85),BC_16|BC_17|BW_11,BMI<18.5,,BC_15|BC_12,体型呈中心性肥胖特征，腰臀比超标而BMI在正常范围，提示腹部及内脏脂肪偏多，建议控制精制碳水、增加有氧与核心训练。
PT_SCOLIOSIS_RISK_001,高低肩伴脊柱侧弯风险,health|aesthetic|sport,12,PT_03异常 AND (PT_02异常 OR PT_12异常 OR SP_10异常),PT_11|SP_01,,PT_HIGH_LOW_001,PT_03|PT_02|PT_12|SP_10,高低肩伴有头侧歪或身体倾斜，提示可能存在脊柱侧弯风险，建议专业筛查。
RISK_VISCERAL_FAT_001,内脏脂肪风险,health,14,BC_16超标 OR BC_17>10,BC_12|BC_05,腰臀比体脂率均正常,,BC_16|BC_17,内脏脂肪偏高，与代谢负荷、心血管相关指标需关注相关。建议控制腹部脂肪，增加有氧与核心训练。
OBESITY_LATENT_001,隐性肥胖,health|aesthetic,15,BC_15正常 AND BC_05超标 AND BC_03不足,BC_06不足,BMI超标,,BC_15|BC_05|BC_03,体型偏瘦但体脂率偏高、肌肉量不足，属于隐性肥胖，易被忽视。建议增肌减脂并重，适当力量训练。
PT_PELVIS_ROTATION_001,可能骨盆旋转,health|aesthetic|sport,16,PT_11长短腿异常 OR PT_12身体倾斜 OR SP_14|SP_15|SP_16骨盆风险,PT_03|PT_06|PT_07,,,PT_11|PT_12|SP_14|SP_15|SP_16,长短腿或身体倾斜、骨盆专项风险提示可能存在骨盆旋转，需解决核心区肌肉失衡并建立良好骨盆控制感。建议定期专业体态评估并加强髋部与核心稳定。
PT_PELVIS_ANTERIOR_001,骨盆前移,health|aesthetic|sport,17,PT_06异常,SP_01|BT_01,,PT_PELVIS_SHIFT_001,PT_06,存在骨盆前移倾向，易引起腰肌劳损、脏器下垂。建议加强核心与臀肌，拉伸髋屈肌。
PT_PELVIS_ANTERIOR_TILT_001,骨盆前倾,health|aesthetic|sport,18,PT_07异常(前倾),SP_14|SP_05|BT_01,,PT_PELVIS_001,PT_07|SP_14|SP_05,骨盆前倾伴腰曲过大，易导致下背痛与假胯宽外观。建议加强臀肌与腹肌，拉伸髂腰肌、竖脊肌。
PT_PELVIS_POSTERIOR_001,骨盆后倾,health|aesthetic|sport,19,PT_07异常(后倾),SP_15|SP_01,,,PT_07|SP_15,骨盆后倾可导致平背与胸椎代偿。建议强化下背与髋伸肌，改善坐站姿。
OBESITY_MUSCULAR_001,肌肉型肥胖,health|aesthetic|sport,20,BC_05偏高 AND (BC_03充足 OR BC_06充足),BC_18节段肌肉,BC_03不足,,BC_05|BC_03|BC_06,体脂率偏高但肌肉量充足，属于肌肉型体型。建议在保持力量训练基础上，适度增加有氧与饮食控制以降低体脂。
KNEE_HYPEREXTENSION_001,膝过伸倾向,health|aesthetic|sport,21,PT_08异常(超伸) OR PT_09异常(超伸),PT_10|PT_07,,,PT_08|PT_09,膝过伸可能由骨盆前倾或足弓问题诱发，增加膝关节压力。建议加强股四头肌离心控制与腘绳肌，改善站姿。
KNEE_FLEXION_001,膝前屈倾向,health|aesthetic|sport,22,PT_08异常(前屈) OR PT_09异常(前屈),PT_10,,,PT_08|PT_09,存在膝前屈倾向，可能影响下肢力学。建议加强膝关节稳定性训练。
LEG_ALIGNMENT_001,腿型异常(X/O/D/K型),health|aesthetic|sport,23,PT_10异常,PT_08|PT_09|PT_11,,,PT_10,腿型异常可导致下肢力学功能紊乱，增加膝关节损伤几率，并可诱发长短腿与步态异常。建议专业评估并针对性训练。
LEG_K_TYPE_001,K型腿(膝内翻伴小腿外旋),health|aesthetic|sport,24,PT_10为K型,PT_11|PT_12|BL,,,PT_10|PT_11|PT_12,K型腿可导致下肢力线异常、足底压力分布异常。建议强化髋外旋肌群，改善足弓支撑与步态。
LEG_D_TYPE_001,D型腿(膝外翻伴小腿内旋),health|aesthetic|sport,25,PT_10为D型,PT_11|PT_12|BL,,,PT_10|PT_11|PT_12,D型腿可导致下肢力线偏斜，足底内侧压力集中。建议强化髋内收肌群，进行距骨内旋矫正与稳定型训练。
LEG_X_TYPE_001,X型腿(膝外翻),health|aesthetic|sport,26,PT_10为X型,BT_01|PT_11,,,PT_10|BT_01,X型腿可导致臀肌发力模式异常与假胯宽外观。建议矫正下肢力线并激活臀中肌，避免膝内扣姿势。
JOINT_HIP_LIMITED_001,髋关节活动度受限,health|sport,27,HP_01~HP_04中至少2项受限,FMS_01|FMS_02异常,,,HP_01|HP_02|HP_03|HP_04,髋关节多方向活动度受限，可能由骨盆旋转或不稳诱发。建议进行髋关节灵活性与稳定性训练。
JOINT_CERVICAL_LIMITED_001,颈椎活动度受限,sport|health,28,NC_01~NC_06中至少3项受限,PT_01|上交叉,,,NC_01|NC_02|NC_03|NC_04|NC_05|NC_06,颈椎多方向活动度受限。建议加强颈部柔韧性与深层稳定。
JOINT_SHOULDER_LIMITED_001,肩关节活动度受限,sport|health,29,SH_01~SH_04中至少2项受限,PT_04|PT_05,,,SH_01|SH_02|SH_03|SH_04,肩关节多方向活动度受限。建议进行肩关节灵活性训练与肩胛稳定强化。
SPINE_CURVATURE_001,脊柱曲度矢状面异常,health|sport,30,SP_01关键曲度异常(腰/胸/骨盆侧移或曲度),SP_02|SP_03|SP_04|SP_05,,,SP_01|SP_02|SP_03|SP_04|SP_05,脊柱关键曲度在矢状面过度前凸或后凸。建议核心肌群强化与姿势矫正，恢复脊柱自然曲度。
