功能模块,指标ID,指标名称,典型SKU
体成分,BC_01,体重,全系列
体成分,BC_02,去脂体重,全系列
体成分,BC_03,肌肉量,M30/M30-美学版/T50/T55等
体成分,BC_04,体脂肪,全系列
体成分,BC_05,体脂率,全系列
体成分,BC_06,骨骼肌,全系列
体成分,BC_07,蛋白质,全系列
体成分,BC_08,无机盐,M30/M30-美学版等
体成分,BC_09,总水分,全系列
体成分,BC_10,细胞内液,VR Explorer/M30等
体成分,BC_11,细胞外液,同上
体成分,BC_12,腰臀比,全系列
体成分,BC_13,基础代谢,全系列
体成分,BC_14,代谢年龄,M30/M30-美学版等
体成分,BC_15,BMI,全系列
体成分,BC_16,内脏脂肪面积,VR PRO5/VA PRO5/S20等
体成分,BC_17,内脏脂肪等级,M30/M30-美学版等
体成分,BC_18,节段肌肉,M30/M30-美学版等
体成分,BC_19,节段脂肪,同上
体态评估,PT_01,头前引,M30/S20/M60/T50/T55等
体态评估,PT_02,头侧歪,同上
体态评估,PT_03,高低肩,同上
体态评估,PT_04,左圆肩,同上
体态评估,PT_05,右圆肩,同上
体态评估,PT_06,骨盆前移,同上
体态评估,PT_07,骨盆前/后倾,VR Explorer/VR PRO5等(产康)
体态评估,PT_08,左膝评估(超伸/前屈),M30/S20等
体态评估,PT_09,右膝评估(超伸/前屈),同上
体态评估,PT_10,腿型(X/O/D/K型),同上
体态评估,PT_11,长短腿,VR Explorer/VR PRO5等
体态评估,PT_12,身体倾斜,VR PRO5/VA PRO5等
体态评估,PT_13,重心平衡,同上
体围,BW_01,颈围,M30/VA PRO5/S20等
体围,BW_02,左上臂围,同上
体围,BW_03,右上臂围,同上
体围,BW_04,胸围,同上
体围,BW_05,左大腿围,同上
体围,BW_06,左大腿最小围,VA PRO5/VA PRO7等
体围,BW_07,右大腿围,同上
体围,BW_08,右大腿最小围,同上
体围,BW_09,左小腿围,同上
体围,BW_10,右小腿围,同上
体围,BW_11,中腰围,同上
体围,BW_12,臀围,同上
体围,BW_13,高腰围,VA PRO5/VA PRO7等
体围,BW_14,低腰围,同上
腰腹围度,WA_01,高腰中线,VR Explorer/VR PRO5/T50/T55等
腰腹围度,WA_02,高腰下线,同上
腰腹围度,WA_03,低腰上线,同上
腰腹围度,WA_04,低腰中线,同上
腰腹围度,WA_05,高腰上段体积,同上
腰腹围度,WA_06,高腰下段体积,同上
腰腹围度,WA_07,中腰部体积,同上
腰腹围度,WA_08,低腰上段体积,同上
腰腹围度,WA_09,低腰下段体积,同上
腰腹围度,WA_10,腰臀比(腰腹),同上
腰腹围度,WA_11,背部体积,同上
腰腹围度,WA_12,腰部轮廓图,同上
肩部功能,SH_01,外展上举-左手,VD PRO3/VE560/VA PRO5/S20等
肩部功能,SH_02,外展上举-右手,同上
肩部功能,SH_03,前屈上举-左手,同上
肩部功能,SH_04,前屈上举-右手,同上
髋关节,HP_01,左髋外展,VR Explorer/M30/VR PRO5等
髋关节,HP_02,右髋外展,同上
髋关节,HP_03,左髋内收,同上
髋关节,HP_04,右髋内收,同上
脊柱评估,SP_01,脊柱关键曲度,VR Explorer/M30/VR PRO5等
脊柱评估,SP_02,脊柱结构异常,T50/T55
脊柱评估,SP_03,颈椎异常评估,同上
脊柱评估,SP_04,胸椎异常评估,同上
脊柱评估,SP_05,腰椎异常评估,同上
脊柱评估,SP_06,脊柱发育指数(青少年),同上
脊柱评估,SP_07,学习姿势负荷指数,同上
脊柱评估,SP_08,生长痛预警指数,同上
脊柱评估,SP_09,骨骼平衡指数,同上
脊柱评估,SP_10,脊柱侧弯风险评分,同上
脊柱评估,SP_11,颈部疼痛风险,同上
脊柱评估,SP_12,背部疼痛风险,同上
脊柱评估,SP_13,腰部疼痛风险,同上
脊柱评估,SP_14,骨盆前倾风险分数,同上
脊柱评估,SP_15,骨盆后倾风险分数,同上
脊柱评估,SP_16,骨盆旋转风险分数,同上
颈部功能,NC_01,颈椎前屈,VR Explorer/M30/VR PRO5等
颈部功能,NC_02,颈椎后伸,同上
颈部功能,NC_03,颈椎左侧屈,同上
颈部功能,NC_04,颈椎右侧屈,同上
颈部功能,NC_05,颈椎左旋转,同上
颈部功能,NC_06,颈椎右旋转,同上
臀型,BT_01,评估结果(梨形臀/蜜桃臀等),M30/VA PRO5/S20等
营养,NU_01,无电流营养分析,M30/VR PRO5等(产康)
FMS,FMS_01,深蹲,T50/T55
FMS,FMS_02,跨栏步,同上
FMS,FMS_03,直线弓步,同上
FMS,FMS_04,主动直腿上抬,同上
FMS,FMS_05,肩部灵活性,同上
FMS,FMS_06,直腿上抬清除检查,同上
FMS,FMS_07,躯干稳定俯卧撑,同上
FMS,FMS_08,俯卧撑清除检查,同上
FMS,FMS_09,旋转稳定性,同上
FMS,FMS_10,旋转稳定性清除试验,同上
体适能,FT_01,垂直纵跳,T50/T55
体适能,FT_02,核心肌耐力评估,同上
体适能,FT_03,柔软度评估,同上
体适能,FT_04,上肢肌耐力评估,同上
体适能,FT_05,下肢肌耐力评估,同上
体适能,FT_06,平衡能力评估,同上
体适能,FT_07,原地开合跳,同上
体适能,FT_08,选择反应时评估,同上
体适能,FT_09,握力评估,同上
体适能,FT_10,肺活量评估,同上
青少年,YG_01,身高百分位,T50/T55
青少年,YG_02,BMI百分位,同上
青少年,YG_03,父母身高,同上
平衡,BL_01,睁眼活动程度,T50/T55
平衡,BL_02,闭眼活动程度,同上
平衡,BL_03~05,闭眼静态平衡(COP/速度/偏移),同上
平衡,BL_06~08,睁眼静态平衡(COP/速度/偏移),同上
平衡,BL_09~11,动态追踪平衡,同上
